instance,orig,preprocessed
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/008-80-12.cnf,591.427,916.217
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modbtsimpbaig.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-2000-023-eq.cnf,2973.62,3718.17
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modasmodasisc.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-gss-32-s100.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Harder/ecarev-110-4099-22-30-2.cnf,305.143,239.187
/home/v7q8/scratch/2017_SAT_Competition/g2-UR-20-5p1.cnf,941.707,978.529
/home/v7q8/scratch/2018_SAT_Competition/Jingchao/e_rphp035_05.cnf,551.859,389.039
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/dated-10-11-u.cnf,734.379,587.445
/home/v7q8/scratch/2017_SAT_Competition/mp1-ps_5000_21250_3_0_0.7_0_1.50_4.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128simpbbg1sbisc.cnf,116.932,89.3053
/home/v7q8/scratch/2018_SAT_Competition/Devriendt/queen8_12.col.12.cnf,106.064,65.6993
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/UR-15-10p1.cnf,1389.05,1461.59
/home/v7q8/scratch/2017_SAT_Competition/mp1-blockpuzzle_9x9_s1_free8.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128paralbg1sbisc.cnf,188.511,0.726924
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-oski15a10b06s-k24.cnf,5000.0,5000.0
/home/v7q8/scratch/2017_SAT_Competition/mp1-squ_any_s09x07_c27_sinz_UNS.cnf,330.962,323.911
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/complete-300-0.1-7-9876543213007.cnf,0.048267,0.035652
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/post-cbmc-aes-ee-r2-noholes.cnf,456.681,470.08
/home/v7q8/scratch/2017_SAT_Competition/g2-ak128modbtbg2msisc.cnf,4140.54,4021.49
/home/v7q8/scratch/2018_SAT_Competition/Manthey/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,3537.6,3273.28
/home/v7q8/scratch/2017_SAT_Competition/mp1-klieber2017s-1600-024-eq.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Xiao/Nb37T6.cnf,5000.0,3393.84
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/grieu-vmpc-31.cnf,249.362,564.993
/home/v7q8/scratch/2014_SAT_Competition/sc14-app/010-23-80.cnf,5000.0,5000.0
/home/v7q8/scratch/2018_SAT_Competition/Liang/sqrt_ineq_2.c.cnf,497.131,162.314
/home/v7q8/scratch/2017_SAT_Competition/g2-hwmcc15deep-6s516r-k18.cnf,5000.0,5000.0
